TA,Key,Indication
Gastrointestinal,Disease,Alcoholic Fatty Liver Disease
Dermatology,Pigmentosa,Urticaria Pigmentosa
Gastrointestinal,Injury,Chronic Gastric Injury
Dermatology,Ulcers,Neurotrophic Leg Ulcers
Immunology,Deficiencies,Primary Humoral Immune Deficiencies
Infectious Disease,Syndrome,Severe Acute Respiratory Syndrome
Male Health,Diseases,Testicular Diseases
Infectious Disease,Fever,Typhus Fever
Infectious Disease,Fever,Q Fever
Ophthalmology,Pigmentosa,Retinitis Pigmentosa
Ophthalmology,Disorders,Vision Disorders
Metabolic Disorders,Ulcers,Diabetic Foot Ulcers
Ophthalmology,Neuropathy,Optic Neuropathy
Cardiovascular,Angina,Prinzmetal Angina
Oncology,Cancer,Bone Cancer
Respiratory,Infections,Fungal Respiratory Tract Infections
Cardiovascular,Thrombosis,Cerebral Venous Sinus Thrombosis
Cardiovascular,Dysfunction,Vascular Dysfunction
Central Nervous System,Dementia,Senile Dementia
Central Nervous System,Hemorrhage,Intracerebral Hemorrhage
Central Nervous System,Migraine,Hemiplegic Migraine
Ear Nose Throat Disorders,Rhinitis,Chronic Infective Rhinitis
Nutritional Disorders,Disorders,Vitamin C Deficiency Disorders
Oncology,Cancer,AIDS - Related Cancer
Immunology,Vasculitis,Anti-Neutrophil Cytoplasmic Antibody-Associated Vasculitis
Dermatology,Dermatitis,Perioral Dermatitis
Musculoskeletal Disorders,Disease,Degenerative Disc Disease
Infectious Disease,Abscess,Peritonsillar Abscess
Cardiovascular,Hypertension,Portal Hypertension
Central Nervous System,Encephalitis,Infectious Encephalitis
Cardiovascular,Stenosis,Artery Stenosis
Genito Urinary System And Sex Hormones,Glomerulonephritis,Membranoproliferative Glomerulonephritis
Gastrointestinal,Atresia,Biliary Atresia
Respiratory,Apnea,Obstructive Sleep Apnea
Immunology,Hypersensitivity,Blood Plasma Hypersensitivity
Immunology,Allergy,Cat Allergy
Immunology,Allergy,Animal Allergy
Infectious Disease,Syndrome,HIV-Associated Lipodystrophy Syndrome
Infectious Disease,Echinococcosis,Cystic Echinococcosis
Oncology,Anemia,Refractory Anemia
Oncology,Lymphomas,Natural Killer Cell Lymphomas
Metabolic Disorders,Diseases,Mitochondrial Diseases
Metabolic Disorders,Cardiomyopathy,Familial Amyloid Cardiomyopathy
Oncology,Melanoma,Lentigo Maligna Melanoma
Metabolic Disorders,Amyloidosis,Primary Systemic Amyloidosis
Infectious Disease,Infections,Enterococcus Infections
Ophthalmology,Degeneration,Dry Macular Degeneration
Toxicology,Toxicity,Pulmonary Radiation Toxicity
Respiratory,Diseases,Interstitial Lung Diseases
Cardiovascular,Injury,Reperfusion Injury
Gastrointestinal,Steatohepatitis,Non-Alcoholic Steatohepatitis
Oncology,Cancer,Liver Cancer
Infectious Disease,Infections,Enterovirus Infections
Gastrointestinal,Disease,Non Alcoholic Fatty Liver Disease
Oncology,Cancer,Metastatic Lung Cancer
Musculoskeletal Disorders,Disorders,Muscle Wasting Disorders
Oncology,Leukemia,B-Cell Leukemia
Immunology,Arthritis,Systemic Juvenile Rheumatoid Arthritis
Gastrointestinal,Disease,Nonerosive Reflux Disease
Infectious Disease,Infections,Streptococcus pyogenes Infections
Central Nervous System,Stenosis,Spinal Stenosis
Infectious Disease,Infections,Adenoviridae Infections
Genetic Disorders,Dystrophy,Becker Muscular Dystrophy
Hormonal Disorders,Disorders,Endocrine Gland Disorders
Gastrointestinal,Ileus,Postoperative Ileus
Genetic Disorders,Syndrome,Fragile X Syndrome
Musculoskeletal Disorders,Degeneration,Cartilage Degeneration
Musculoskeletal Disorders,Atrophy,Muscle Atrophy
Toxicology,Myelosuppression,Radiation Induced Myelosuppression
Oncology,Sarcoma,Adipocytic Sarcoma
Metabolic Disorders,Syndrome,Metabolic Syndrome
Genetic Disorders,Syndrome,DiGeorge Syndrome
Oncology,Cancer,Gynecological Cancer
Infectious Disease,Infections,Human Parainfluenza Virus 3 Infections
Hematological Disorders,Deficiency,Fibrinogen Deficiency
Oncology,Carcinoma,Thymic Carcinoma
Oncology,Cancer,Oral Cavity Cancer
Oncology,Lymphoma,Burkitt Lymphoma
Oncology,Tumor,Brenner Tumor
Infectious Disease,Disease,"Hand, Foot and Mouth Disease"
Immunology,Syndrome,Primary Sjogren's Syndrome
Oncology,Lymphoma,Marginal Zone B-cell Lymphoma
Gastrointestinal,Mucositis,Gastrointestinal Mucositis
Musculoskeletal Disorders,Osteoarthritis,Knee Osteoarthritis
Oncology,Syndrome,POEMS Syndrome
Oncology,Tumor,Gastrointestinal Tumor
Central Nervous System,Injury,Peripheral Nerve Injury
Ophthalmology,Neovascularization,Corneal Neovascularization
Hematological Disorders,Disorders,Leukocyte Disorders
Oncology,Ascites,Malignant Ascites
Infectious Disease,Infections,Salmonella Infections
Immunology,Deficiencies,Humoral Immune Deficiencies
Infectious Disease,Infections,Orthopoxvirus Infections
Infectious Disease,Infections,Vaccinia Infections
Infectious Disease,Infections,Urea Splitting Urinary Tract Infections
Infectious Disease,Infections,Community Acquired Methicillin-Resistant Staphylococcus aureus Infections
Mouth and Dental Disorders,Leukoplakia,Oral Leukoplakia
Cardiovascular,obliterans,Thromboangiitis obliterans
Metabolic Disorders,Disease,Cardiometabolic Disease
Infectious Disease,Fever,Chikungunya Fever
Ophthalmology,Conjunctivitis,Viral Conjunctivitis
Oncology,Cancer,Central Nervous System Cancer
Genetic Disorders,Disease,Polygenic Disease
Central Nervous System,Syndrome,MELAS Syndrome
Genetic Disorders,Syndrome,Down Syndrome
Musculoskeletal Disorders,Myositis,Sporadic Inclusion Body Myositis
Cardiovascular,Injury,Ischemia Reperfusion Injury
Central Nervous System,Dementia,Lewy Body Dementia
Genito Urinary System And Sex Hormones,Bladder,Hypoactive Bladder
Genetic Disorders,Disease,Gaucher Disease
Dermatology,Disorders,Sudoriferous Gland Disorders
Gastrointestinal,Syndrome,Hemolytic Uremic Syndrome
Central Nervous System,Syndrome,Rett Syndrome
Central Nervous System,Disorder,Pervasive Developmental Disorder
Central Nervous System,Phobia,Specific Animal Phobia
Infectious Disease,Infections,Streptococcal Infections
Central Nervous System,Degeneration,Corticobasal Degeneration
Infectious Disease,Infections,"Influenza A Virus, H3N2 Subtype Infections"
Central Nervous System,Impairment,Mild Cognitive Impairment
Infectious Disease,Amoebiasis,Chronic Intestinal Amoebiasis
Ophthalmology,Keratitis,Exposure Keratitis
Ophthalmology,Esotropia,Accommodative Esotropia
Ophthalmology,Blepharitis,Staphylococcal Blepharitis
Ophthalmology,Nystagmus,Acquired Nystagmus
Central Nervous System,Ataxia,Friedreich Ataxia
Central Nervous System,Syndrome,Reye Syndrome
Central Nervous System,Disorders,Circadian Rhythm Sleep Disorders
Musculoskeletal Disorders,Spondyloarthritis,Non-Radiographic Axial Spondyloarthritis
Immunology,Polyangiitis,Microscopic Polyangiitis
Central Nervous System,Encephalopathy,Hypoxic-Ischemic Encephalopathy
Respiratory,Fibrosis,Interstitial Lung Fibrosis
Ophthalmology,Glaucoma,Neovascular Glaucoma
Central Nervous System,Dyskinesia,Tardive Dyskinesia
Central Nervous System,Palsy,Progressive Supranuclear Palsy
Musculoskeletal Disorders,Myopathy,Hereditary Inclusion Body Myopathy
Genetic Disorders,Syndrome,Alport Syndrome
Gastrointestinal,Cholangitis,Primary Sclerosing Cholangitis
Hormonal Disorders,Deficiency,Shox Deficiency
Gastrointestinal,Incontinence,Fecal Incontinence
Ophthalmology,Glaucoma,Normal-Tension Glaucoma
Central Nervous System,Pain,Chemotherapy Induced Pain
Oncology,Cancer,Brain Cancer
Central Nervous System,Injury,Chronic Spinal Cord Injury
Central Nervous System,Spasticity,Upper Limb Muscle Spasticity
Cardiovascular,Stenosis,Aortic Valve Stenosis
Musculoskeletal Disorders,Injury,Muscle Injury
Ophthalmology,Atrophy,Geographic Atrophy
Oncology,Cancer,Neuroendocrine Cancer
Infectious Disease,Syndrome,Middle East Respiratory Syndrome
Cardiovascular,Cardiomyopathy,Ischemic Cardiomyopathy
Cardiovascular,Stroke,Chronic Ischemic Stroke
Ophthalmology,Syndrome,Kearns-Sayre Syndrome
Hematological Disorders,Syndrome,Pearson Syndrome
Oncology,Tumor,Central Nervous System Tumor
Infectious Disease,Infections,Pseudomonas Infections
Central Nervous System,Neuropathy,Autonomic Neuropathy
Infectious Disease,Abscess,Liver Abscess
Genetic Disorders,Deficiency,Carbamoyl-Phosphate Synthase I Deficiency
Genetic Disorders,Deficiency,Congenital Sucrase-Isomaltase Deficiency
Genetic Disorders,Disorders,Inherited Metabolic Disorders
Immunology,Allergy,Dog Allergy
Immunology,Pemphigoid,Benign Mucous Membrane Pemphigoid
Ear Nose Throat Disorders,Rhinitis,Acute Infectious Rhinitis
Ear Nose Throat Disorders,Disorders,Auditory Perceptual Disorders
Cardiovascular,Diseases,Aortic Valve Diseases
Central Nervous System,Syndrome,Chronic Fatigue Syndrome
Cardiovascular,Disease,Occlusive Coronary Artery Disease
Ear Nose Throat Disorders,Disease,Autoimmune Inner Ear Disease
Ear Nose Throat Disorders,Diseases,Vestibular Diseases
Ear Nose Throat Disorders,Disorders,Voice Disorders
Women's Health,Dysfunction,Female Sexual Dysfunction
Immunology,Allergy,Peanut Allergy
Genetic Disorders,Disorders,Fatty Acid Biosynthesis Disorders
Hormonal Disorders,Syndrome,Nelson Syndrome
Hormonal Disorders,Syndrome,Laron Syndrome
Hormonal Disorders,Hypocalcemia,Autosomal Dominant Hypocalcemia
Central Nervous System,Pain,Pancreatitis Pain
Central Nervous System,Syndrome,Tarsal Tunnel Syndrome
Cardiovascular,Disease,Heart Valve Disease
Oncology,Lymphoma,Splenic Marginal Zone B-Cell Lymphoma
Oncology,Liposarcoma,Dedifferentiated Liposarcoma
Genetic Disorders,Syndrome,Smith-Magenis Syndrome
Central Nervous System,Disorder,Social Anxiety Disorder
Central Nervous System,Palsy,Athetoid Cerebral Palsy
Cardiovascular,Syndrome,Low Cardiac Output Syndrome
Central Nervous System,Syndrome,Congenital Myasthenic Syndrome
Toxicology,Effects,Opioid Induced Side Effects
Oncology,Liposarcoma,Myxoid Liposarcoma
Cardiovascular,Hypertension,Resistant Hypertension
Cardiovascular,Cardiomyopathy,Dilated Cardiomyopathy
Immunology,Rejection,Antibody-Mediated Rejection
Genetic Disorders,Disease,Menkes Disease
Respiratory,Obliterans,Bronchiolitis Obliterans
Musculoskeletal Disorders,Myopathy,Mitochondrial Myopathy
Genetic Disorders,Syndrome,Barth Syndrome
Ophthalmology,Degeneration,Juvenile Macular Degeneration
Genetic Disorders,Syndrome,Angelman Syndrome
Toxicology,Injury,Radiation Injury
Gastrointestinal,Enterocolitis,Necrotizing Enterocolitis
Infectious Disease,Syndrome,Post Polio Syndrome
Gastrointestinal,Syndrome,Typical Hemolytic Uremic Syndrome
Gastrointestinal,Cholestasis,Progressive Familial Intrahepatic Cholestasis
Cardiovascular,Cardiomyopathy,Hypertrophic Cardiomyopathy
Non Malignant Disorders,Tumor,Benign Tumor
Ophthalmology,Telangiectasis,Idiopathic Juxtafoveolar Retinal Telangiectasis
Central Nervous System,Leukodystrophy,Metachromatic Leukodystrophy
Genito Urinary System And Sex Hormones,Hyperoxaluria,Primary Hyperoxaluria
Oncology,Syndrome,Gorlin Syndrome
Genito Urinary System And Sex Hormones,Hyperoxaluria,Secondary Hyperoxaluria
Immunology,Rejection,Pancreatic Islet Transplant Rejection
Genetic Disorders,Congenita,Pachyonychia Congenita
Genetic Disorders,Disease,Maple Syrup Urine Disease
Oncology,Disorder,Post-Transplant Lymphoproliferative Disorder
Genetic Disorders,Disorders,Recessive X Chromosome Disorders
Central Nervous System,Syndrome,Glucose Transporter Type 1 Deficiency Syndrome
Ophthalmology,Occlusion,Retinal Vein Occlusion
Cardiovascular,Injury,Vascular Injury
Oncology,Melanoma,Metastatic Uveal Melanoma
Musculoskeletal Disorders,Dystrophy,Facioscapulohumeral Muscular Dystrophy
Oncology,Carcinoma,Papillary Renal Cell Carcinoma
Respiratory,Emphysema,Congenital Lobar Emphysema
Ophthalmology,Degeneration,Retinal Degeneration
Metabolic Disorders,Hypoglycemia,Nocturnal Hypoglycemia
Oncology,Lymphoma,AIDS - Related Lymphoma
Oncology,Carcinoma,Neuroendocrine Carcinoma
Oncology,Angiosarcoma,Cutaneous Angiosarcoma
Women's Health,Hyperplasia,Breast Hyperplasia
Cardiovascular,Dysfunction,Endothelial Dysfunction
Genetic Disorders,Disease,Sandhoff Disease
Oncology,Myelofibrosis,Post-Essential Thrombocythemia Myelofibrosis
Genetic Disorders,Syndrome,Alagille Syndrome
Oncology,Leukemia,Relapsed Chronic Lymphocytic Leukemia
Genetic Disorders,Disorders,Inherited Mitochondrial Disorders
Male Health,Contraception,Male Contraception
Toxicology,Myelosuppression,Chemotherapy Induced Myelosuppression
Oncology,Melanoma,Uveal Melanoma
Oncology,Cancer,Oral Cancer
Cardiovascular,Angina,Microvascular Angina
Respiratory,Apnea,Central Sleep Apnea
Genetic Disorders,Dysplasia,X-Linked Hypohidrotic Ectodermal Dysplasia
Genetic Disorders,Disease,Charcot-Marie-Tooth Disease
Central Nervous System,Encephalopathy,Epileptic Encephalopathy
Hematological Disorders,Anemia,Fanconi Anemia
Musculoskeletal Disorders,Myositis,Inclusion Body Myositis
Genetic Disorders,SCID,X-Linked SCID
Infectious Disease,Fever,Hemorrhagic Fever
Oncology,Cancer,Vulvar Cancer
Musculoskeletal Disorders,Fracture,Tibial Plateau Fracture
Genetic Disorders,Syndrome,Netherton Syndrome
Central Nervous System,Leukodystrophy,Globoid Cell Leukodystrophy
Non Malignant Disorders,Syndrome,Proteus Syndrome
Musculoskeletal Disorders,Dystrophy,Limb-Girdle Muscular Dystrophy
Central Nervous System,Neuropathy,Peripheral Neuropathy
Cardiovascular,Arteritis,Takayasu Arteritis
Genetic Disorders,Syndrome,Crigler-Najjar Syndrome
Central Nervous System,Syndrome,Stiff-Person Syndrome
Central Nervous System,Sclerosis,Primary Lateral Sclerosis
Central Nervous System,Disease,Kennedy's Disease
Metabolic Disorders,Deficiency,Lecithin-Cholesterol Acyltransferase Deficiency
Metabolic Disorders,Syndrome,Tumor Lysis Syndrome
Toxicology,Toxicity,Cutaneous Radiation Toxicity
Musculoskeletal Disorders,Syndrome,Mitochondrial Neurogastrointestinal Encephalopathy Syndrome
Cardiovascular,Hypotension,Intra Dialytic Hypotension
Gastrointestinal,Ulcer,Esophageal Ulcer
Infectious Disease,Infection,Protozoal Infection
Infectious Disease,Infections,Marburgvirus Infections
Metabolic Disorders,Amyloidosis,Secondary Systemic Amyloidosis
Undisclosed,Disease,Unspecified Rare Disease
Infectious Disease,Infections,Norovirus Infections
Metabolic Disorders,Retinopathy,Proliferative Diabetic Retinopathy
Respiratory,Disease,Pleural Disease
Central Nervous System,Neuritis,Brachial Plexus Neuritis
Central Nervous System,Aphasia,Wernicke's Aphasia
Oncology,Leukemia,Relapsed Acute Myeloid Leukemia
Infectious Disease,Infections,Mycobacterium Infections
Oncology,Medulloblastoma,Recurrent Medulloblastoma
Oncology,Tumor,Mesenchymal Tumor
Oncology,Lymphomas,T-Cell Lymphomas
Oncology,Glioma,Low-Grade Glioma
Oncology,Disease,Erdheim-Chester Disease
Oncology,Carcinoma,NUT Midline Carcinoma
Infectious Disease,Infections,Campylobacter Infections
Cardiovascular,Calcification,Vascular Calcification
Infectious Disease,Encephalitis,Eastern Equine Encephalitis
Male Health,Disorder,Male Hypoactive Sexual Desire Disorder
Oncology,Tumor,Epithelial Tumor
Musculoskeletal Disorders,Dystrophy,Laminin-Deficient Congenital Muscular Dystrophy
Infectious Disease,Plaque,Pneumonic Plaque
Toxicology,Dysfunction,Opioid-Induced Bowel Dysfunction
Oncology,Neoplasm,Plasma Cell Neoplasm
Central Nervous System,Polyneuropathy,Distal Symmetric Polyneuropathy
Central Nervous System,Neuralgia,Trigeminal Neuralgia
Central Nervous System,Syndrome,Myofascial Pain Syndrome
Musculoskeletal Disorders,Disorders,Musculoskeletal Disorders
Genetic Disorders,Syndrome,Aicardi-Goutieres Syndrome
Oncology,Cancer,Salivary Gland Cancer
Immunology,Syndrome,Schnitzler Syndrome
Oncology,Syndrome,Paraneoplastic Syndrome
Oncology,Melanoma,Acral Lentiginous Melanoma
Genetic Disorders,Syndrome,Von Hippel-Lindau Syndrome
Cardiovascular,Hypertension,Systolic Hypertension
Gastrointestinal,Syndrome,Dumping Syndrome
Oncology,Cancer,Laryngeal Cancer
Central Nervous System,Syndrome,Asperger Syndrome
Oncology,Tumors,Nongerminomatous Germ Cell Tumors
Central Nervous System,Ataxia,Cerebellar Ataxia
Oncology,Carcinoma,Adenoid Squamous Cell Carcinoma
Genetic Disorders,Deficiency,Medium-Chain Acyl-CoA Dehydrogenase Deficiency
Genito Urinary System And Sex Hormones,Nephropathy,Contrast Induced Nephropathy
Genito Urinary System And Sex Hormones,Fibrosis,Kidney Fibrosis
Central Nervous System,Syndromes,Neurotoxicity Syndromes
Dermatology,Dermatitis,Stasis Dermatitis
Toxicology,Toxicity,Gastrointestinal Radiation Toxicity
Ophthalmology,Cataract,Cortical Cataract
Metabolic Disorders,Disorders,Metabolic Disorders
Hematological Disorders,Disorders,Hematological Disorders
Oncology,Cancer,Nonmelanomatous Skin Cancer
Metabolic Disorders,Obesity,Abdominal Obesity
Central Nervous System,Paralysis,Hyperkalemic Periodic Paralysis
Genetic Disorders,Disorders,Genetic Disorders
Metabolic Disorders,Cardiomyopathy,Amyloid Cardiomyopathy
Hematological Disorders,Lymphocytopenia,Idiopathic CD4 Lymphocytopenia
Oncology,Cancer,Oropharyngeal Cancer
Toxicology,Poisoning,Mustard Gas Poisoning
Hematological Disorders,Disease,Anemia of Chronic Disease
Oncology,Carcinoma,Basaloid Squamous Cell Carcinoma
Ophthalmology,Occlusion,Retinal Artery Occlusion
Central Nervous System,Disease,Pick Disease
Cardiovascular,Syndrome,Hypoplastic Left Heart Syndrome
Ophthalmology,Neuropathy,Ischemic Optic Neuropathy
Hematological Disorders,Deficiency,Factor V Deficiency
Central Nervous System,Injury,Traumatic Nerve Injury
Genetic Disorders,Disorders,Amino Acid Metabolism Disorders
Infectious Disease,Infections,Rhinovirus Infections
Cardiovascular,Calcification,Arterial Calcification
Musculoskeletal Disorders,Defects,Bone Defects
Cardiovascular,Disease,Pulmonary Vascular Disease
Central Nervous System,Disease,Lafora Disease
Women's Health,Pregnancy,Ectopic Pregnancy
Ophthalmology,Ulcers,Parasitic Corneal Ulcers
Infectious Disease,Infections,Burkholderia Infections
Toxicology,Poisoning,Carbon Monooxide Poisoning
Genetic Disorders,Disease,Farber Disease
Infectious Disease,Infections,Salmonella typhi Infections
Central Nervous System,Injury,Nerve Injury
Immunology,Syndrome,Job Syndrome
Metabolic Disorders,Acidemia,Propionic Acidemia
Hormonal Disorders,Disorders,Hormone Deficiency Disorders
Gastrointestinal,Disease,Fatty Liver Disease
Women's Health,Amenorrhea,Hypothalamic Amenorrhea
Genetic Disorders,Deficiency,Carnitine Palmitoyltransferase II Deficiency
Oncology,Metastasis,Hepatic - Colorectal Metastasis
Cardiovascular,Angina,Refractory Angina
Genetic Disorders,Deficiency,Recombination Activating Genes Deficiency
Genetic Disorders,Myopathy,X-Linked Myotubular Myopathy
Central Nervous System,Injury,Traumatic Spinal Cord Injury
Musculoskeletal Disorders,Pseudarthrosis,Atrophic Pseudarthrosis
Respiratory,Dyskinesia,Primary Ciliary Dyskinesia
Hematological Disorders,Syndrome,Antiphospholipid Syndrome
Central Nervous System,Disorders,Developmental Disorders
Central Nervous System,Disease,Creutzfeldt Jakob Disease
Central Nervous System,Neuropathy,Anti-MAG Peripheral Neuropathy
Respiratory,Hernia,Congenital Diaphragmatic Hernia
Central Nervous System,Aphasia,Broca's Aphasia
Oncology,Lymphoma,Lymphoblastic Lymphoma
Immunology,Erythematosus,Subacute Cutaneous Lupus Erythematosus
Genetic Disorders,Deficiency,Apolipoprotein A-I Deficiency
Infectious Disease,Infections,Vancomycin-Resistant Enterococcus faecium Infections
Cardiovascular,Calcification,Cardiovascular Calcification
Oncology,Cancer,Extrahepatic Bile Duct Cancer
Infectious Disease,Infections,"Influenza A Virus, H7N3 Subtype Infections"
Central Nervous System,Pain,Nociceptive Pain
Oncology,Bone,Giant Cell Tumor Of Bone
Ophthalmology,Inflammation,Intermediate Ocular Inflammation
Ophthalmology,Blepharitis,Meibomian Blepharitis
Genetic Disorders,Hemochromatosis,Secondary Hemochromatosis
Genito Urinary System And Sex Hormones,Bladder,Inflammation Of Urinary Bladder
Respiratory,Apnea,Episodic Apnea
Respiratory,Disease,Obstructive Pulmonary Disease
Ophthalmology,Neovascularization,Occult Choroidal Neovascularization
Oncology,Osteoporosis,Malignant Osteoporosis
Oncology,Leukemia,Mast Cell Leukemia
Infectious Disease,Infections,Bordetella pertussis Infections
Infectious Disease,Pneumonia,Tuberculous Pneumonia
Infectious Disease,Zygomycosis,Gastrointestinal Zygomycosis
Infectious Disease,Diseases,Parasitic Diseases
Infectious Disease,Blastomycosis,Systemic Blastomycosis
Oncology,Syndrome,Sezary Syndrome
Nutritional Disorders,Rickets,Vitamin D Resistant Rickets
Oncology,Lymphoma,Nodal Marginal Zone B-Cell Lymphoma
Oncology,Tumor,Wilms' Tumor
Oncology,Tumor,Esophageal Tumor
Oncology,Medulloblastoma,Refractory Medulloblastoma
Oncology,Tumor,Papillary Tumor
Infectious Disease,Plague,Bubonic Plague
Infectious Disease,Infections,Bacillus Infections
Infectious Disease,Infections,Enterococcus faecium Infections
Infectious Disease,Infections,Neisseria gonorrhoeae Infections
Infectious Disease,Infection,Legionella Pneumophila Infection
Infectious Disease,Infections,Proteus Infections
Infectious Disease,Infections,Tape Worm Infections
Gastrointestinal,Fistula,Gastrointestinal Fistula
Gastrointestinal,Disorders,Spastic Esophageal Motility Disorders
Central Nervous System,Disorder,Shift Work Sleep Disorder
Ophthalmology,Cataract,Diabetic Cataract
Ophthalmology,Cataract,Nuclear Sclerotic Cataract
Ophthalmology,Injury,Corneal Ulcers Due To Injury
Infectious Disease,Infections,Chlamydia Infections
Central Nervous System,Seizure,Simple Partial Seizure
Genetic Disorders,Syndrome,Muckle-Wells Syndrome
Genetic Disorders,Disease,Neonatal Onset Multisystem Inflammatory Disease
Genetic Disorders,Disorders,Inherited Skin Disorders
Immunology,Allergy,Olea Europea Pollen Allergy
Immunology,Hypersensitivity,Type I Hypersensitivity
Metabolic Disorders,Lipodystrophy,Congenital Generalized Lipodystrophy
Oncology,Melanoma,Nodular Melanoma
Infectious Disease,Septicaemia,Streptococcus Pneumoniae Septicaemia
Gastrointestinal,Dyspepsia,Motility Dyspepsia
Central Nervous System,Disorder,Somatosensory Disorder
Central Nervous System,Disorders,Unspecified Neurologic Disorders
Cardiovascular,Syndrome,Wolff-Parkinson-White Syndrome
Central Nervous System,Palsy,Spastic Cerebral Palsy
Respiratory,Diseases,Congenital Lung Diseases
Cardiovascular,Shock,Toxic Shock
Central Nervous System,Amnesia,Retrograde Amnesia
Gastrointestinal,Colitis,Lymphocytic Colitis
Gastrointestinal,Spasm,Diffuse Esophageal Spasm
Dermatology,Pruritus,Chronic Uremic Pruritus
Gastrointestinal,Diseases,Hirschsprung Diseases
Gastrointestinal,Disorders,Esophageal Motility Disorders
Infectious Disease,Fever,Rocky Mountain Spotted Fever
Oncology,Carcinoma,Invasive Ductal Carcinoma
Oncology,Cancer,Metastatic Nonseminomatous Testicular Cancer
Oncology,Cancer,Testosterone-Sensitive Prostate Cancer
Respiratory,Asthma,Non- Allergic Asthma
Respiratory,Pyogenes,Lower Respiratory Tract Infections by Streptococcus Pyogenes
Ophthalmology,Strabismus,Paralytic Strabismus
Oncology,Neoplasm,Otorhinolaryngologic Neoplasm
Oncology,Tumor,Pancreatic Endocrine Tumor
Central Nervous System,Disorder,Seasonal Affective Disorder
Infectious Disease,Infections,Rickettsia Infections
Cardiovascular,Syndrome,Post Acute Coronary Syndrome
Metabolic Disorders,Disease,Neurometabolic Disease
Women's Health,Anovulation,Secondary Anovulation
Women's Health,Amenorrhea,Lactation Amenorrhea
Oncology,Carcinoma,Clear Cell Squamous Cell Carcinoma
Metabolic Disorders,Dysplasia,Diabetic Retinal Dysplasia
Infectious Disease,Infections,"Influenza A Virus, H2N2 Subtype Infections"
Infectious Disease,Infections,Mycoplasma pneumoniae Infections
Ophthalmology,Syndrome,Pseudoexfoliation Syndrome
Central Nervous System,Disorder,Prescription Opioid Use Disorder
Infectious Disease,Infections,Polyomavirus Infections
Infectious Disease,Infections,Burkholderia mallei Infections
Immunology,Sarcoidosis,Symptomatic Sarcoidosis
Oncology,Myelofibrosis,Thrombocythemia Myelofibrosis
Central Nervous System,Palsy,Infantile Cerebral Palsy
Gastrointestinal,Hernia,Hiatal Hernia
Cardiovascular,Stenosis,Pulmonary Valve Stenosis
Ophthalmology,Conjunctivitis,Gonococcal Conjunctivitis
Immunology,Allergy,Milk Allergy
Genetic Disorders,Disorder,Lysosomal Storage Disorder
Oncology,Tumor,Primitive Neuroectodermal Tumor
Oncology,Melanoma,Ocular Melanoma
Infectious Disease,Septicaemia,Staphylococcus Aureus Septicaemia
Oncology,Liposarcoma,Round Cell Liposarcoma
Oncology,Cancer,Vaginal Cancer
Oncology,Myelofibrosis,Post-Polycythemia Vera Myelofibrosis
Oncology,Fungoides,Transformed Mycosis Fungoides
Genetic Disorders,Disease,Tay-Sachs Disease
Infectious Disease,Diseases,Tick-Borne Diseases
Central Nervous System,Palsy,Progressive Bulbar Palsy
Oncology,Disorders,Lymphoproliferative Disorders
Oncology,Cancer,Small Intestine Cancer
Infectious Disease,Encephalitis,Venezuelan Equine Encephalitis
Infectious Disease,Infections,Human Herpesvirus 8 Infections
Oncology,Tumor,Peritoneal Tumor
Oncology,Tumor,Nerve Sheath Tumor
Central Nervous System,Impairment,Memory Impairment
Central Nervous System,Paralysis,Hypokalemic Periodic Paralysis
Oncology,Glioma,Pontine Glioma
Genetic Disorders,Disorders,Chromosomal Disorders
Infectious Disease,Infections,Salmonella typhimurium Infections
Genetic Disorders,Syndrome,Williams-Beuren Syndrome
Women's Health,Amenorrhea,Pituitary Amenorrhea
Genetic Disorders,Deficiency,Long-Chain 3-Hydroxyacyl-CoA Dehydrogenase Deficiency
Genetic Disorders,Deficiency,N-Acetylglutamate Synthetase Deficiency
Oncology,Leukemia,Refractory Leukemia
Ophthalmology,Uveitis,Diffuse Posterior Uveitis
Oncology,Tumor,Breast Tumor
Infectious Disease,Cryptococcosis,Systemic Cryptococcosis
Infectious Disease,Meningitis,Viral Meningitis
Oncology,Cancer,Febrile Granulocytopenic Cancer
Infectious Disease,Infections,Klebsiella pneumoniae Infections
Infectious Disease,Infections,Haemophilus ducreyi Infections
Ophthalmology,Syndrome,Irido Corneal Endothelial Syndrome
Ophthalmology,Blepharoconjunctivitis,Chronic Blepharoconjunctivitis
Infectious Disease,Cryptococcosis,Cutaneous Cryptococcosis
Oncology,Cancer,Urethral Cancer
Infectious Disease,Infections,Klebsiella Infections
Oncology,Carcinoma,Mammary Ductal Carcinoma
Cardiovascular,Atresia,Tricuspid Atresia
Women's Health,Anovulation,Primary Anovulation
Ear Nose Throat Disorders,Diseases,Vestibulocochlear Diseases
Central Nervous System,Pain,Renal Pain
Gastrointestinal,Dyspepsia,Reflux Dyspepsia
Cardiovascular,Stenosis,Renal Artery Stenosis
Cardiovascular,Syndromes,Sick Sinus Syndromes
Infectious Disease,Infections,Legionella Infections
Infectious Disease,Fever,Tick-Borne Relapsing Fever
Ophthalmology,Conjunctivitis,Neisseria Neonatal Conjunctivitis
Central Nervous System,Palsy,Spastic Diplegia Cerebral Palsy
Central Nervous System,Disorder,Schizophreniform Disorder
Oncology,Myelofibrosis,Primary Myelofibrosis
