Congress,TA,Indication,Top,Country,City,StartDate,EndDate,Cost,GoogleHits,USEU
Neurobiology of Drug Addiction Gordon Research Conference (GRC) 2020,Neurology,Drug Addiction,0,United States Of America,"Oxford, Maine",16-08-2020,21-08-2020,-,151000,1
Neurobiology of Drug Addiction Gordon Research Seminar (GRS) 2020,Neurology,Drug Addiction,0,United States of America,"Newry, Maine",15-08-2020,16-08-2020,-,160000,1
Neurocircuitry of Social Behavior (L4),Neurology,NA,0,South Korea,"Daejeon, Daejeon",10-05-2020,13-05-2020,1095,17500,0
Neurocritical Care Society (NCS) 18th Annual Meeting,Neurology,NA,0,United States Of America,"Phoenix, Arizona",22-09-2020,25-10-2020,-,6760,1
Neurological Rehabilitation for Physiotherapy Assistants Programme ‚ÄövÑv¨ Course 2,Neurology,NA,0,United Kingdom,"Salford, England",08-02-2020,NA,-,5,1
"Neurology & Psychiatry for Primary Care (Dec 11 - 13, 2020)",Neurology,Neurology,0,United States of America,"Las Vegas, Nevada",11-12-2020,13-12-2020,795,1.87E+08,1
"Neurology & Psychiatry for Primary Care (Jul 17 - 19, 2020)",Neurology,Neurology,0,United States of America,"Orlando, Florida",17-07-2020,19-07-2020,895,1.87E+08,1
"Neurology & Psychiatry for Primary Care (Jun 11-14, 2020)",Neurology,Neurology,0,United States of America,"Hilton Head Island, South Carolina",11-06-2020,14-06-2020,1095,1.87E+08,1
"Neurology & Psychiatry for Primary Care (Nov 05 - 08, 2020)",Neurology,Neurology,0,Bahamas,"Nassau, New Providence",05-11-2020,08-11-2020,-,1.87E+08,0
Neurology 2020 Conference,Neurology,Neurology,0,United Kingdom,"Glasgow, Scotland",06-03-2020,NA,-,4940000,1
Neurology and Behavioral Health for the Family Physician 2020 by AAFP,Neurology,Neurology,0,United States of America,"Orlando, Florida",04-11-2020,07-11-2020,-,47200,1
"Neurology for Primary Care (Apr 24 - 26, 2020)",Neurology,Neurology,0,United States Of America,"Charleston, South Carolina",24-04-2020,26-04-2020,895,4320000,1
"Neurology for Primary Care (Aug 21 - 23, 2020)",Neurology,Neurology,0,United States Of America,"Seattle, Washington",21-08-2020,23-08-2020,895,3370000,1
"Neurology for Primary Care (Jul 03 - 05, 2020)",Neurology,Neurology,0,United States of America,"Las Vegas, Nevada",03-07-2020,05-07-2020,895,445000,1
Neurology in Clinical Practice 2020,Neurology,Neurology,0,Cayman Islands,"Grand Cayman, Grand Cayman",09-07-2020,11-07-2020,-,12300000,0
Neurology of the VSC & Thompson Technique 2 - Grand Rapids,Neurology,Neurology,0,United States of America,"Grand Rapids, Michigan",01-02-2020,02-02-2020,480,115000,1
Neurology of the VSC & Thompson Technique 2 - Madison,Neurology,Neurology,0,United States of America,"Madison, Wisconsin",21-03-2020,22-03-2020,480,115000,1
Neurology of the VSC & Thompson Technique 2 - Rochester,Neurology,Neurology,0,United States of America,"Rochester, New York",04-01-2020,05-01-2020,480,115000,1
Neurology of the VSC & Thompson Technique 2 - Toronto,Neurology,Neurology,0,Canada,"Toronto, Ontario",02-05-2020,03-05-2020,480,115000,0
Neurology of the VSC & Thompson Technique 2 - Vancouver,Neurology,Neurology,0,Canada,"Vancouver, British Columbia",30-05-2020,31-05-2020,480,115000,0
Neurology Update and Stroke Intensive Review 2020,Cardiology,"Neurology,Stroke",0,United States Of America,"Miami, Florida",16-01-2020,18-01-2020,840,3050000,1
Neurology Update for PCPs,Neurology,Neurology,0,United States of America,"Port Canaveral, Florida",12-04-2020,19-04-2020,-,304000,1
Neurology: Top Topic Updates For Primary Care 2020,Internal Medicine,Neurology,0,United States of America,"Sarasota, Florida",13-04-2020,17-04-2020,949,3300000,1
Neuromodulation Society of Australia and New Zealand 14th Annual Scientific Meeting (NSANZ 2020),Neurology,NA,0,Australia,"Brisbane, Queensland",07-08-2020,09-08-2020,-,988,0
NeuroTrauma2020- The 38th Symposium of the National Neurotrauma Society,Neurology,NA,0,United States,Atlanta,27-06-2020,01-07-2020,-,8,1
New Advances in Inflammatory Bowel Disease 2020 by Scripps Conference Services & CME,Gastrointestinal,Inflammatory Bowel Disease,0,United States Of America,"San Diego, California",12-09-2020,13-09-2020,-,139000,1
New Cardiovascular Horizons (NCVH) Annual Conference 2020,Cardiology,Cardiovascular,0,United States of America,"New Orleans, Louisiana",26-05-2020,29-05-2020,699,1730,1
New Drugs In Hematology 2020,Hematology,NA,1,Italy,"Bologna, Emilia-Romagna",18-05-2020,20-05-2020,-,2980000,1
"New England Ophthalmological Society (NEOS) Meeting - Jun, 2020",Ophthalmology,NA,0,United States Of America,"Boston, Massachusetts",05-06-2020,NA,-,466000,1
"New England Ophthalmological Society (NEOS) Meeting - Mar, 2020",Ophthalmology,NA,0,United States Of America,"Boston, Massachusetts",13-03-2020,NA,-,481000,1
New England Ophthalmological Society (NEOS) Meeting - Massachusetts,Ophthalmology,NA,0,United States Of America,"Boston, Massachusetts",24-04-2020,NA,-,90700,1
New England Section of the American Urological Association (NEAUA) 89th Annual Meeting,Genito Urinary System And Sex Hormones,NA,0,United States of America,"Burlington, Vermont",10-09-2020,12-09-2020,-,9,1
New Zealand & Australia Discovery: Custom Land Program Down Under | Healthcare Perspectives from Down Under,Genito Urinary System And Sex Hormones,NA,0,New Zealand,"Auckland, Auckland",10-01-2020,26-01-2020,695,2.30E+09,0
New Zealand Dermatological Society Incorporated (NZDSI) 2020 Conference,Dermatology,NA,0,New Zealand,"Queenstown , Otago",05-08-2020,09-08-2020,-,31800,0
North American Association of Central Cancer Registries (NAACCR) Annual Conference 2020,Oncology,NA,0,United States Of America,"Philadelphia, Pennsylvania",21-06-2020,26-06-2020,-,4190,1
North American Neuro-Ophthalmology Society (NANOS) 46th Annual Meeting,Ophthalmology,Ophthalmology,0,United States of America,"Amelia Island, Florida",07-03-2020,12-03-2020,-,7690,1
North American Neuroendocrine Tumor Society (NANETS) Multidisciplinary Net Medical Symposium 2020,Oncology,NA,0,Canada,"Montreal, Quebec",01-10-2020,03-10-2020,-,1330,0
North American Society for Cardiovascular Imaging (NASCI) 2020 Annual Meeting,Cardiology,Cardiovascular,0,United States Of America,"Cleveland, Ohio",12-09-2020,15-09-2020,-,16500,1
North Carolina Society of Gastroenterology (NCSG) Annual Conference 2020,Gastrointestinal,NA,0,United States of America,"Pinehurst, North Carolina",15-02-2020,16-02-2020,-,10400,1
Northeastern Section of the American Urological Association (NSAUA) 72st Annual Meeting,Genito Urinary System And Sex Hormones,NA,0,United States of America,"Charlotte, North Carolina",01-10-2020,03-10-2020,-,2590,1
Norwegian Fjords & the Midnight Sun on Holland America: Current Medical/Dental Issues & Scandinavian Healthcare,Ophthalmology,NA,0,Netherlands,"Amsterdam, North Holland",07-06-2020,21-06-2020,695,6760000,1
NPAC 2020 - National Conference for Nurse Practitioners in Acute Care,Internal Medicine,NA,0,United States Of America,"New Orleans, Louisiana",21-10-2020,25-10-2020,689,35100,1
NRG Oncology Meeting 2020 - Houston,Oncology,NA,0,United States Of America,"Houston, Texas",09-01-2020,11-01-2020,-,229000,1
NRG Oncology Meeting 2020 - Washington,Oncology,NA,0,United States of America,"Washington, Dist of Col",16-07-2020,18-07-2020,-,347000,1
NSA 2020 Annual Meeting,Neurology,NA,0,United States,Four Seasons Resort Maui,04-06-2020,17-06-2020,-,1220000,1
NYU Langone Seminar In Advanced Rheumatology 2020,Rheumatology,NA,0,United States of America,"New York City, New York",19-03-2020,21-03-2020,-,89800,1
NZBCS-2020: The Second New Zealand Breast Cancer Symposium,Oncology,Breast Cancer,0,New Zealand,"Auckland, Auckland",12-11-2020,14-11-2020,450,27900,0
OARSI 2020 World Congress,Musculoskeletal Disorders,NA,0,Austria,Vienna,30-04-2020,03-05-2020,-,13700,1
Ocular Blood Flow Summit,Hematology,NA,0,NA,NA,NA,NA,-,440000,0
Ohio Urological Society (OUS) 2020 Annual Meeting,Genito Urinary System And Sex Hormones,NA,0,United States of America,"Cleveland, Ohio",06-03-2020,07-03-2020,-,1850000,1
Oklahoma State Urological Association (OSUA) 2020 Annual Meeting,Genito Urinary System And Sex Hormones,NA,0,United States of America,"Oklahoma City, Oklahoma",06-03-2020,07-03-2020,-,138000,1
Onco-Hospital Medicine Conference,Oncology,NA,0,United States of America,"Houston, Texas",16-10-2020,17-10-2020,-,579000,1
Oncologic Imaging Course (OIC) 2020,Oncology,NA,0,Croatia,"Dubrovnik, Dubrovnik",24-06-2020,27-06-2020,-,66300,1
Oncology (including leukaemia) - LSP study day 2020,Oncology,NA,0,United Kingdom,"London, England",09-01-2020,NA,-,41100,1
Oncology 2020,Oncology,NA,0,United States of America,"Los Angeles, California",23-09-2020,NA,-,51200000,1
Oncology Australia 2020,Oncology,NA,0,Australia,"Sydney, New South Wales",23-04-2020,24-04-2020,-,5810000,0
Oncology Clinical Trials Conference 2020,Oncology,NA,0,United States of America,"Savannah, Georgia",05-03-2020,06-03-2020,725,8920000,1
Ontario Rheumatology Association (ORA) 19th Annual Meeting,Rheumatology,NA,0,Canada,"King city, Ontario",17-04-2020,19-04-2020,-,94000,0
Ophthalmic Anesthesia Society (OAS) 34th Annual Scientific Meeting,Ophthalmology,NA,0,United States Of America,"Chicago, Illinois",11-09-2020,13-09-2020,875,20600,1
"Ophthalmic Block Hands-on Workshop (Apr 25 - 26, 2020)",Ophthalmology,NA,0,United States Of America,"Orlando, Florida",25-04-2020,26-04-2020,-,10200000,1
"Ophthalmic Block Hands-on Workshop (Nov 7 - 8, 2020)",Ophthalmology,NA,0,United States Of America,"Orlando, Florida",07-11-2020,08-11-2020,-,11800000,1
Ophthalmic Medical Technology Meeting 2020,Ophthalmology,NA,0,United States of America,"Portland, Oregon",13-03-2020,NA,-,2200000,1
"Ophthalmic Regional Block Hands-on Workshop (Nov 07 - 08, 2019)",Ophthalmology,NA,0,United States Of America,"Orlando, Florida",07-11-2020,08-11-2020,-,11700000,1
Optimized Management of Medically Complex Patients 2020,Internal Medicine,NA,1,United States of America,"Waltham, Massachusetts",14-05-2020,16-05-2020,1075,31900000,1
"Organization for Safety, Asepsis and Prevention (OSAP) Dental Infection Control Boot Camp‚Äövë¬¢ 2020",Infectious Disease,NA,0,United States Of America,"Chicago, Illinois",27-01-2020,29-01-2020,865,4,1
"Orlando Dermatology Aesthetic and Clinical (ODAC) Dermatology, Aesthetic & Surgical Conference 2020",Dermatology,Dermatology,0,United States of America,"Orlando, Florida",17-01-2020,20-01-2020,409,7560,1
"Orthopedic Medicine for Primary Care: Ortho/Rheum (Jun 19 - 21, 2020)",Rheumatology,NA,0,United States Of America,"Orlando, Florida",19-06-2020,21-06-2020,995,455000,1
"Orthopedic Medicine for Primary Care: Ortho/Rheum (Oct 30 - Nov 01, 2020)",Rheumatology,NA,0,United States Of America,"Charleston, South Carolina",30-10-2020,01-11-2020,995,431000,1
"Orthopedic Rehabilitation for the Lower Extremity... Treatment for Common Injuries or Impairments to Lumbopelvic, Hip, Knee, Foot and Ankle (Feb 01 - 02, 2020)",Musculoskeletal Disorders,NA,0,United States of America,"San Diego, California",01-02-2020,02-02-2020,495,33800,1
"Orthopedic Rehabilitation for the Lower Extremity... Treatment for Common Injuries or Impairments to Lumbopelvic, Hip, Knee, Foot and Ankle (Jun 13 - 14, 2020)",Musculoskeletal Disorders,NA,0,United States of America,"Kissimmee, Florida",13-06-2020,14-06-2020,495,31600,1
"Orthopedic Rehabilitation for the Lower Extremity... Treatment for Common Injuries or Impairments to Lumbopelvic, Hip, Knee, Foot and Ankle (Mar 07 - 08, 2020)",Musculoskeletal Disorders,NA,0,United States of America,"Atlanta, Georgia",07-03-2020,08-03-2020,495,37700,1
OSMO Spring 2020 Oncology Conference,Oncology,NA,0,United States,Downtown Portland,07-03-2020,NA,-,10,1
Osteoarthritis Research Society International (OARSI) 2020 World Congress,Rheumatology,Osteoarthritis,0,Austria,"Wien, Wien",30-04-2020,03-05-2020,-,7050,1
Paediatric Solid Tumours Study Day,Oncology,NA,0,United Kingdom,"London, England",14-01-2020,NA,-,5570000,1
Pain: Aligning the Target (J7),Neurology,Pain,0,United States of America,"Keystone, Colorado",02-02-2020,05-02-2020,995,117000,1
"Palliative Medicine and End of Life Care, Including Related Topics in Neurology 2020",Neurology,Neurology,0,United Kingdom,"Southampton, England",20-06-2020,28-06-2020,895,878000,1
"Pancreatic Cancer Highlights Marseille (PCHM) 2020, Fight Cancer",Oncology,Pancreatic Cancer,0,France,"Marseille, Provence-Alpes-Cote d Azur",16-01-2020,17-01-2020,-,30400,1
Pancreaticobiliary Pathology for Those in the Trenches: What Really Matters (and What Doesn‚ÄövÑv¥t),Pathology,NA,0,United States of America,"Palm Springs, California",26-01-2020,28-01-2020,1349,9,1
PARP & DDR Inhibitors Summit 2020,Genetic Disorders,NA,0,United States of America,"Boston, Massachusetts",28-01-2020,30-01-2020,3897,4740000,1
Pathology Visions (PV) Conference 2020,Pathology,NA,1,United States Of America,"Orlando, Florida",18-10-2020,20-10-2020,-,1410000,1
Patient Focused! (Medical Photography Course for Clinicians) 2020,Dermatology,NA,0,United Kingdom,"London, England",02-03-2020,03-03-2020,-,18600000,1
PDA West Coast Chapter: Gene Therapy,Genetic Disorders,NA,0,United States Of America,"San Francisco, California",20-02-2020,NA,-,2180000,1
Pediatric & Adolescent Medicine for Primary Care: Derm/Emergency Med/Gastro/Psych,Rheumatology,NA,0,United States of America,"Bay Lake, Florida",02-04-2020,05-04-2020,1095,3.20E+08,1
"Pediatric Advanced Cardio Life Support (PALS) Provider Course (Feb 11 - 12, 2020)",Cardiology,NA,0,United States of America,"San Jose, California",11-02-2020,12-02-2020,280,361000,1
Pediatric Dermatology and Ophthalmology 2020,Dermatology,"Dermatology,Ophthalmology",0,United States Of America,"Sonoma, California",07-02-2020,08-06-2020,425,2450000,1
Pediatric Diabetes Conference 2020,Metabolic Disorders,Diabetes,0,United States of America,"Sacramento, California",10-01-2020,NA,-,1.50E+07,1
Pediatric Emergency Medicine: An Evidence-Based Approach 2020,Internal Medicine,NA,0,United States Of America,"Sarasota, Florida",09-03-2020,13-03-2020,949,7320000,1
Pediatric Emergency Medicine: Emergent And Urgent Challenges 2020,Internal Medicine,NA,0,United States Of America,"San Diego, California",01-06-2020,05-06-2020,949,458000,1
Pediatric Endocrine Society (PES) Annual Meeting 2020,Metabolic Disorders,NA,1,United States Of America,"Fort Worth, Texas",24-04-2020,27-04-2020,795,623000,1
"Pediatric Hand Therapy and Orthotic Intervention (Splinting) for Musculoskeletal Conditions (Jan 11 - 12, 2020)",Musculoskeletal Disorders,NA,0,United States of America,"Long Beach, California",11-01-2020,12-01-2020,529,47800,1
Pediatric Infectious Diseases: A Primary Care And Hospitalist Approach 2020,Internal Medicine,NA,0,United States of America,"Sarasota, Florida",24-02-2020,28-02-2020,949,189000,1
Pediatric Neurology Symposium 2020,Neurology,Neurology,0,United States Of America,"Memphis, Tennessee",17-04-2020,18-04-2020,-,596000,1
Pediatric Subspecialties for PCPs: Gastroenterology and Infectious Diseases,Infectious Disease,NA,0,United States of America,"Fort Lauderdale, Florida",22-02-2020,29-02-2020,-,298000,1
Pelvic Floor Disorders (PFD) Week 2020,Genito Urinary System And Sex Hormones,NA,0,Canada,"Vancouver, British Columbia",06-10-2020,10-10-2020,-,833000,0
Pennsylvania Academy of Dermatology and Dermatologic Surgery (PAD) 53rd Annual Scientific Meeting,Dermatology,Dermatology,0,United States of America,"Pittsburgh, Pennsylvania",24-09-2020,27-09-2020,-,33200,1
"PerformanceNavigator: Cardiometabolic Conditions (Mar, 2020)",Metabolic Disorders,NA,0,United States Of America,"Atlanta, Georgia",19-03-2020,21-03-2020,-,10,1
"PerformanceNavigator: Cardiometabolic Conditions (Sep, 2020)",Metabolic Disorders,NA,0,United States Of America,"Minneapolis, Minnesota",24-09-2020,26-09-2020,-,10,1
Perioperative Management- In Its 36th Year,Internal Medicine,NA,0,United States of America,"Marco Island, Florida",16-02-2020,19-02-2020,875,43900,1
Peripheral Nerve Society (PNS) 2020,Neurology,NA,0,United States Of America,"Miami, Florida",27-06-2020,01-07-2020,-,89700,1
Perplexing Problems in Breast Pathology (and How to Solve Them),Pathology,NA,0,United States of America,"Palm Springs, California",16-01-2020,18-01-2020,1349,1550000,1
PES 2020 Annual Meeting,Metabolic Disorders,NA,0,United States,Fort Worth,24-04-2020,27-04-2020,-,1320000,1
"PI3K and PTEN at the Interface of Cell Growth, Vesicular Trafficking and Disease (E1)",Genetic Disorders,NA,0,Germany,"Hannover, Lower Saxony",03-05-2020,07-05-2020,1145,27600,1
"Plenareno Diabetes, Obesity And Cholesterol Metabolism Conference 2020",Metabolic Disorders,"Diabetes,Obesity",0,United Arab Emirates,"Dubai, Dubai",13-04-2020,14-04-2020,499,12600,0
Plenareno Heart Congress 2020,Cardiology,NA,0,United Arab Emirates,"Dubai, Dubai",13-04-2020,14-04-2020,-,32000,0
"Post Concussion Syndrome (Jan 24 - 25, 2020)",Neurology,NA,0,United States of America,"Greenwood, South Carolina",24-01-2020,25-01-2020,-,298000,1
Post Concussion Syndrome 2020,Neurology,NA,0,United States of America,"White Plains, New York",12-06-2020,13-06-2020,435,509000,1
"Practical Neurology Co-Provided with School of Medicine, SUNY at Stony Brook 2020",Neurology,Neurology,0,United States of America,"San Juan, Puerto Rico",04-04-2020,11-04-2020,-,772000,1
Practical Recommendations in Immuno and Molecular Oncology (PRIMO) 2020 Annual Meeting,Oncology,NA,0,United States of America,"Honolulu, Hawaii",12-02-2020,15-02-2020,645,489000,1
"Practical Tips for the Practicing Pathologist: Focus on Genitourinary, Pulmonary, Gynecologic and Hematopathology",Genito Urinary System And Sex Hormones,NA,0,United States of America,"Maui, Hawaii",24-02-2020,28-02-2020,1345,149000,1
"Praxis: Evaluation and Treatment of the Clumsy Child (Aug 07 - 08, 2020)",Neurology,NA,0,United States of America,"New york city, New York",07-08-2020,08-08-2020,435,47100,1
"Praxis: Evaluation and Treatment of the Clumsy Child (Nov 06 - 07, 2020)",Neurology,NA,0,United States of America,"Minneapolis, Minnesota",06-11-2020,07-11-2020,435,43200,1
Preimplantation Genetic Diagnosis International Society (PGDIS) Meeting 2020,Genetic Disorders,NA,0,China,"Shanghai, Shanghai",15-04-2020,18-04-2020,-,689,0
Premier Annual Resident Cosmetic Symposium 2020,Dermatology,NA,0,United States Of America,"Dallas, Texas",17-04-2020,19-04-2020,-,1330000,1
Preventive Cardiovascular Nurses Association (PCNA) 26th Annual Cardiovascular Nursing Symposium,Cardiology,Cardiovascular,0,United States of America,"Orlando, Florida",02-04-2020,04-04-2020,-,5520,1
"Preventive Medicine, Preventive Cardiology, Cardiometabolic Medicine, and Advanced Lipidology",Cardiology,NA,0,Australia,"Melbourne, Victoria",29-02-2020,10-03-2020,1095,309000,0
"Primary Care 2020 Update: Type 2 Diabetes, Metabolic Syndrome, and Obesity",Metabolic Disorders,"Type 2 Diabetes,Metabolic Syndrome,Obesity",0,United States of America,"Fort Lauderdale, Florida",21-11-2020,28-11-2020,-,1910000,1
Primary Care and Cardiology Fundamentals - What you need to know!,Cardiology,NA,0,United States of America,"Orlando, Florida",13-01-2020,16-01-2020,699,2120000,1
Primary Care and Infectious Diseases,Infectious Disease,NA,0,United States of America,"Seattle, Washington",19-06-2020,26-06-2020,-,2.22E+08,1
Primary Care And Women‚ÄövÑv¥s Health: An Update And Review 2020,Internal Medicine,NA,0,United States of America,"Sarasota, Florida",04-05-2020,08-05-2020,949,467000,1
Primary Care Challenges for Today‚ÄövÑv¥s Practitioner: Practice Strategies for Internal and Family Medicine 2020,Internal Medicine,NA,0,United States of America,"Sarasota, Florida",16-03-2020,20-03-2020,949,89600,1
Primary Care CME at The Charter (Feb 2020),Internal Medicine,NA,0,United States of America,"Beaver Creek, Colorado",24-02-2020,27-02-2020,750,5510000,1
"Primary Care CME at The Charter (Jan, 2020)",Internal Medicine,NA,0,United States of America,"Beaver Creek, Colorado",27-01-2020,30-01-2020,750,183000,1
Primary Care GI Update Hawaii,Gastrointestinal,NA,0,United States Of America,"Waikoloa, Hawaii",28-10-2020,30-10-2020,650,4210000,1
"Primary Care Update: Cardiology, Geriatrics, and Pharmacology 2020",Cardiology,NA,0,United States of America,"Seattle, Washington",26-06-2020,28-06-2020,750,2710000,1
"Primary Care Update: Dermatology, Sports Medicine, and Pharmacology 2020",Dermatology,Dermatology,0,United States of America,"Anaheim, California",15-02-2020,17-02-2020,-,2050000,1
"Primary Care Update: Office Orthopedics, Pain Management, and Rheumatology 2020",Rheumatology,Pain,0,United States of America,"San Diego, California",27-03-2020,29-03-2020,-,969000,1
Primary Care: Top Topics In Rheumatology And Geriatrics 2020,Internal Medicine,NA,0,United States of America,"Longboat Key, Florida",17-02-2020,21-02-2020,949,985000,1
Procedural Approaches to Dermatologic Diagnosis and Treatment for Primary Care Providers,Dermatology,NA,0,France,"Paris, Ile-de-France",08-04-2020,15-04-2020,-,15300000,1
"Promotion of Recovery Post-Stroke: Evidence Based Therapy in Current Healthcare Environments (Apr 25 - 26, 2020)",Neurology,Stroke,0,United States of America,"Hackensack, New Jersey",25-04-2020,26-04-2020,-,2420000,1
"Promotion of Recovery Post-Stroke: Evidence Based Therapy in Current Healthcare Environments (Jun 06 - 07, 2020)",Neurology,Stroke,0,United States of America,"Abington, Pennsylvania",06-06-2020,07-06-2020,-,1290000,1
Psychiatry and Cardiology for Primary Care 2020,Cardiology,NA,0,United States of America,"Duck Key, Florida",20-03-2020,22-03-2020,-,2740000,1
"Radiology For The Non-Radiologist (Jun, 2020)",Internal Medicine,NA,0,United States Of America,"San Diego, California",08-06-2020,12-06-2020,949,351000,1
Radiology for the Non-Radiologist 2020,Internal Medicine,NA,0,United States Of America,"Sarasota, Florida",23-03-2020,27-03-2020,949,552000,1
Rectal Cancer Forum 2020,Oncology,Rectal Cancer,0,Sweden,"Stockholm, Stockholm",13-03-2020,NA,-,1090000,1
Red Whale GP Update 5-day Global Programme,Musculoskeletal Disorders,NA,0,United Kingdom,"Oxford, England",15-06-2020,19-06-2020,-,4890000,1
"Rehabilitative Management of Patients with Neurodegenerative Conditions (Jan, 2020)",Neurology,NA,0,United States of America,"Omaha, Nebraska",18-01-2020,19-01-2020,435,149000,1
"Rehabilitative Management of Patients with Parkinson's Disease and other Neurogenerative Diseases (Jul 17 - 18, 2020)",Neurology,Parkinson's Disease,0,United States of America,"Somerset, New Jersey",17-07-2020,18-07-2020,435,99400,1
Research Study Club (RSC) of Los Angeles 88th Midwinter Conference,Ophthalmology,NA,0,United States of America,"Los Angeles, California",11-01-2020,12-01-2020,-,1180,1
"Respiratory Failure Nursing Seminar (Feb 27 - 28, 2020)",Respiratory,Respiratory Failure,0,Australia,"Rockhampton, Queensland",27-02-2020,28-02-2020,495,2320000,0
Retina Case Conference 2020 by University of Miami Health System,Ophthalmology,NA,1,United States of America,"Miami, Florida",18-04-2020,NA,250,1640000,1
Review Course for Clinical Oncologists: A Symposium to Present Highlights of the 2020 ASCO Meeting,Oncology,NA,0,United States of America,"Hershey, Pennsylvania",10-07-2020,NA,-,104000,1
"Rheumatism / Nephro Refresher Course (Oct 29 - 31, 2020)",Rheumatology,NA,0,Germany,"Munich, Bavaria",29-10-2020,31-10-2020,-,22700,1
"Rheumatology & Musculoskeletal Medicine for Primary Care (Aug 28 - 30, 2020)",Rheumatology,NA,0,United States Of America,"Charleston, South Carolina",28-08-2020,30-08-2020,995,41800000,1
Rheumatology Alliance of Louisiana (RAL) 8th Annual Meeting,Rheumatology,NA,0,United States Of America,"New Orleans, Louisiana",07-08-2020,09-08-2020,-,41500,1
Rheumatology and Dermatology for Primary Care,Rheumatology,Dermatology,1,United States of America,"Big Sky, Montana",17-07-2020,19-07-2020,750,22800000,1
Rheumatology Association Of Iowa 6th Annual Meeting,Rheumatology,NA,1,United States Of America,"Cedar Rapids, Iowa",21-02-2020,22-02-2020,-,1150000,1
Rheumatology Association of Nevada 5th Annual Meeting,Rheumatology,NA,1,United States of America,"Las Vegas, Nevada",24-04-2020,25-04-2020,-,1160000,1
Rheumatology Research Workshop 2020,Rheumatology,NA,0,United States Of America,"San Diego, California",20-06-2020,21-06-2020,-,646000,1
Rheumatology Winter Clinical Symposium (RWCS) 2020,Rheumatology,NA,0,United States of America,"Maui, Hawaii",12-02-2020,15-02-2020,495,28600,1
Robotic Urology Cadaveric Course 2020,Genito Urinary System And Sex Hormones,NA,0,United Kingdom,"Newcastle upon Tyne, England",04-05-2020,05-05-2020,-,595000,1
Rocky Mountain IBD Course 2020,Gastrointestinal,NA,0,United States of America,"Park City, Utah",13-03-2020,15-03-2020,-,305000,1
Rocky Mountain Urological Society (RUMS) 2020 Annual Spring Meeting,Genito Urinary System And Sex Hormones,NA,0,United States Of America,"Denver, Colorado",03-04-2020,04-04-2020,-,642000,1
Royal Osteoporosis Society (ROS) Osteoporosis conference 2020,Rheumatology,Osteoporosis,0,United Kingdom,"Liverpool, England",30-11-2020,02-12-2020,-,186000,1
Russian National Congress of Cardiology 2020,Cardiology,NA,0,Russian Federation,"Kazan, Tatarstan",22-09-2020,25-09-2020,-,970000,0
Sarcoidosis Update 2020,Rheumatology,Sarcoidosis,0,United States of America,"New York City, New York",28-02-2020,NA,-,271000,1
SCON Global Summit on Neurology and Neurosurgery,Neurology,Neurology,0,United States,Las Vegas,12-11-2020,13-11-2020,-,8860,1
Scripps MD Anderson Cancer Center's Clinical Hematology & Oncology 2020,Oncology,NA,0,United States Of America,"San Diego, California",15-02-2020,18-02-2020,300,98200,1
SDPA Annual Summer Dermatology Conference 2020,Dermatology,Dermatology,0,United States of America,"Denver, Colorado",12-05-2020,17-05-2020,-,19500,1
Second AACR International Meeting: Advances in Malignant Lymphoma: Maximizing the Basic-Translational Interface for Clinical Application,Oncology,Lymphoma,0,United States of America,"Boston, Massachusetts",25-06-2020,28-06-2020,-,27100,1
Sensory processing and sensory-based interventions for children,Neurology,NA,0,Canada,"Laval, Quebec",18-06-2020,19-06-2020,750,42600000,0
"Sensory processing and sensory-based interventions for children (Mar 27 - 28, 2020)",Neurology,NA,0,Canada,"Markham, Ontario",27-03-2020,28-03-2020,750,2040000,0
Seventeenth International Conference on Shaken Baby Syndrome/Abusive Head Trauma,Neurology,Trauma,0,United States Of America,"Philadelphia, Pennsylvania",20-09-2020,22-09-2020,-,328000,1
Seventh Annual Clinical Advances in Heart Failure and Arrhythmias,Cardiology,Arrhythmias,0,United States of America,"Carlsbad, California",24-04-2020,26-04-2020,-,3130000,1
Seventh Annual Concussion Across the Spectrum of Injury: Latest in Diagnosis and Management 2020,Neurology,Injury,0,United States of America,"New York City, New York",20-02-2020,21-02-2020,-,244000,1
SfN's 50th Annual meeting (Neuroscience 2020),Neurology,NA,1,United States,"Washington, D.C.",24-10-2020,28-10-2020,-,46000,1
SGO 2020 Annual Meeting on Women's Cancer,Oncology,NA,0,Canada,Toronto,28-03-2020,31-03-2020,-,91700,0
"SHEFFIELD - Mulligan Manual Therapy Concepts - Part B: The Lower Quadrant: Peripheral Joints, Lumbar Spine and Sacroiliac joints with Thomas Mitchell by NCORE",Musculoskeletal Disorders,NA,0,United Kingdom,"Sheffield, England",18-01-2020,19-01-2020,-,23000,1
SIOG Advanced Course in Geriatric Oncology,Oncology,NA,0,Australia,"Canberra, Australian Capital Territory",22-04-2020,24-04-2020,-,25000,0
Skin Conditions and Diseases by AAFP,Dermatology,NA,0,United States Of America,"Phoenix, Arizona",30-09-2020,03-10-2020,-,180000,1
Skin Disease Education Foundation's (SDEF) 44th Annual Hawaii Dermatology Seminar,Dermatology,Dermatology,0,United States of America,"Maui, Hawaii",16-02-2020,21-02-2020,995,340,1
Skin Microbiome & Cosmeceuticals Congress: Europe 2020,Dermatology,NA,0,Netherlands,"Rotterdam, South Holland",18-05-2020,20-05-2020,-,11300000,1
